Date,IBM,MSFT,HD,XOM,AAPL
4/21/2009,0.018651971,0.019721578,0.028496274,0.014533912,0.01050175
4/22/2009,0.002392842,-0.010238908,0.011508951,-0.022394204,-0.002062026
4/23/2009,-0.011001557,0.007471264,-0.015592078,0.014822301,0.031986115
4/24/2009,-0.013222794,0.104962921,0.02140411,0.013112033,-0.011933365
4/27/2009,-0.001382537,-0.024264326,-0.016345348,-0.006716907,0.00672773
4/28/2009,0.019914803,-0.022751323,0.007243289,0.014514267,-0.00668277
4/29/2009,0.020674533,0.015701137,0.010575296,0.020159324,0.010051066
4/30/2009,-0.00797954,0.000533049,-0.00083717,-0.025816733,0.005457026
5/1/2009,0.013509333,-0.00106553,-0.020946795,0.020121053,0.011253891
5/4/2009,0.015160765,-0.002133333,0.017115961,0.002726106,0.037963694
5/5/2009,-0.003207377,-0.019775521,-0.000841397,-0.007996162,0.00479051
5/6/2009,-0.006435395,0,-0.005894737,0.013703047,-0.001589224
5/7/2009,-0.019431232,-0.023991276,-0.016518424,0.005089059,-0.025922838
5/8/2009,-0.010733822,0.005027933,-0.004306632,0.02721519,0.001011594
5/11/2009,0.013875848,-0.005002779,-0.022058824,-0.015865681,0.00295398
5/12/2009,0.01008438,0.029608939,-0.011941619,0.022382219,-0.039761277
5/13/2009,-0.01609617,-0.007053717,0.008057296,-0.014849969,-0.039631932
5/14/2009,-0.011907227,0.015846995,-0.012433393,-0.0001554,0.028912422
5/15/2009,0.003248454,0.007530931,-0.004946043,-0.009170034,-0.004247672
5/18/2009,0.031648214,0.019220502,0.065973791,0.020078431,0.034536505
5/19/2009,0.008909588,-0.007857517,-0.053412463,0.00030755,0.006343668
5/20/2009,-0.01384847,0.003167899,-0.032243618,-0.012913144,-0.012449768
5/21/2009,-0.011804213,-0.027368421,-0.039333642,-0.017598505,-0.013404612
5/22/2009,-0.009061889,-0.003246753,-0.001445087,0.006499683,-0.013505863
5/26/2009,0.030655721,0.029858849,0.041003377,0.014175461,0.067552058
5/27/2009,-0.019862876,-0.010542963,-0.019462465,-0.021587203,0.017355245
5/28/2009,0.017076432,0.015982952,-0.027410208,0.013650794,0.015172101
5/29/2009,0.015171437,0.021499738,0.020408163,0.001722518,0.005502268
6/1/2009,0.01972701,0.02412731,0.043333333,0.034703767,0.026029727
6/2/2009,-0.014264778,0,0.014148791,0.016165584,0.001009009
6/3/2009,-0.003171771,0.015538847,-0.00540054,-0.011596789,0.010511916
6/4/2009,-0.001491498,0.004935834,0.008144796,0.012484958,0.019807624
6/5/2009,0.008564031,0.013752456,-0.016157989,0,0.006427723
6/8/2009,0.002369668,-0.003875969,0.015967153,0.002674194,-0.005623048
6/9/2009,0.006008668,0.001459144,0.000449035,-0.00074085,-0.007888858
6/10/2009,0.001958288,0.021369597,0.001795332,0.009934757,-0.017310534
6/11/2009,0.009674582,0.012363291,-0.00672043,0.002789605,-0.002148228
6/12/2009,-0.010840108,0.021606388,-0.00315742,-0.003660322,-0.02131324
6/15/2009,-0.005479452,0.004137931,-0.012217195,-0.013078619,-0.006379234
6/16/2009,-0.002754821,0.001373626,-0.027485112,-0.016229899,0.001918678
6/17/2009,-0.003058406,0.009602195,0.019312294,-0.002875738,-0.005671356
6/18/2009,-0.006234537,-0.007699275,-0.012476895,0.000151791,0.002222222
6/19/2009,-0.004182434,0.024189868,0.007487131,-0.005463652,0.026459719
6/22/2009,-0.0129,-0.032531194,-0.011611705,-0.030978178,-0.015120968
6/23/2009,-0.000709148,0.002303086,-0.015977444,0.001574803,-0.024418775
6/24/2009,-0.002838605,0.005514706,-0.008595989,-0.007232704,0.016486811
6/25/2009,0.018401789,0.013711152,0.039017341,0.020905923,0.026688293
6/26/2009,-0.00359389,-0.018485122,0.001854427,-0.011945392,0.018454689
6/29/2009,0.001402665,0.022048691,0.011105969,0.022138483,-0.003313826
6/30/2009,-0.013306653,-0.004044944,-0.01006865,-0.00952381,0.003254103
7/1/2009,0.003954573,0.011732852,0.003236246,0.009305211,0.002820477
7/2/2009,-0.02959297,-0.028099911,-0.037788018,-0.029348494,-0.019687808
7/6/2009,-0.000832639,-0.007342818,0.002873563,-0.005698908,-0.010041601
7/7/2009,-0.014375,-0.028663893,-0.021012416,-0.022607865,-0.023185046
7/8/2009,0.004861551,0.001427891,0.011707317,-0.00439811,0.013425308
7/9/2009,0.01398822,-0.005703422,0.00096432,-0.004417539,-0.006221181
7/10/2009,-0.012239394,-0.001912046,-0.007225434,-0.012982744,0.015834438
7/13/2009,0.027617347,0.037356322,0.026200873,0.008991009,0.027550207
7/14/2009,-0.003576538,-0.005078486,0.024586288,0.007920792,-0.000493897
7/15/2009,0.038457594,0.04361949,0.017074296,0.033562541,0.032401525
7/16/2009,0.031898084,0.013339262,0.013157895,0.000316807,0.004376068
7/17/2009,0.043257728,-0.006143045,0.011195701,0.000791766,0.028660903
7/20/2009,0.008806532,0.009713024,0.005314438,0.006170886,0.007677035
7/21/2009,0.005183232,0.012243113,-0.013656388,0.022173298,-0.009194798
7/22/2009,-0.012574634,-0.001295896,0.012505583,-0.006769231,0.034535331
7/23/2009,0.012826386,0.030709343,0.020732245,0.023079306,0.006919972
7/24/2009,0.004975124,-0.082249266,0.001296456,0.009538229,0.01374483
7/27/2009,-9.00E-05,-0.014631916,-0.006042296,0.00629874,0.000690478
7/28/2009,-0.002970564,0.015313225,0.009118541,-0.011773472,-0.000627274
7/29/2009,-0.000180571,0.01416819,0,-0.006333886,0.0001883
7/30/2009,0.005147192,0.000450653,0.018072289,-0.010016694,0.017194854
7/31/2009,0.000628874,-0.012162162,0.003381234,-0.004599111,0.003701647
8/3/2009,0.016879152,0.013223894,0.01474305,0.003696288,0.018624378
8/4/2009,-0.002737065,-0.00270027,-0.00124533,-0.000767224,-0.005310162
8/5/2009,-0.009384683,0.001805054,0.00166251,-0.008138821,-0.002669255
8/6/2009,-0.004647422,-0.014864865,0.007883817,-0.004180214,-0.007238443
8/7/2009,0.016611296,0.004572474,0.027171676,-0.003731343,0.00974205
8/10/2009,-0.005211093,-0.00591716,-0.006012024,-0.004213483,-0.00473301
8/11/2009,-0.007724407,-0.012362637,-0.00766129,-0.009089484,-0.011522985
8/12/2009,0.012795276,0.017153454,0.011377489,0.01423375,0.015234688
8/13/2009,0.00238537,0.003646308,0.017677782,-0.005145798,0.018833536
8/14/2009,-0.008461132,0.003178928,-0.019344651,-0.007836991,-0.009719738
8/17/2009,-0.0144,-0.018560435,-0.03784219,-0.024328594,-0.043114349
8/18/2009,0.006583694,0.019833948,0.031380753,-0.000971503,0.0276257
8/19/2009,0.007974196,0.003165988,-0.006896552,0.022690438,0.003674219
8/20/2009,0.0032,0.000450857,-0.00245098,0.008716323,0.010494204
8/21/2009,0.007974482,0.031545741,0.030712531,0.01948154,0.017389204
8/24/2009,-0.00483474,0.009174312,-0.01708383,0.01972569,-0.000949555
8/25/2009,-0.004063245,0,0.010509297,-0.008765301,0.002019722
8/26/2009,0.0054102,-0.003463203,0.0092,0.009757585,-0.011797486
8/27/2009,-0.000352858,0.005647263,-0.000792707,-0.007096482,0.012238287
8/28/2009,-0.010148253,-0.000431965,0.005156684,-0.010492701,0.003496711
8/31/2009,-0.001426406,-0.001296456,-0.014206788,-0.013831259,-0.010807938
9/1/2009,-0.011516829,-0.0263955,-0.012009608,-0.010752688,-0.017314467
9/2/2009,-0.005148121,-0.005777778,-0.008103728,-0.003308129,-0.000729084
9/3/2009,0.002088062,0.010728654,0.013888889,0.001264422,0.008329787
9/4/2009,0.009693785,0.021229544,0.004834811,0.013417522,0.022551857
9/8/2009,-0.002602064,0.007795583,0.016840417,0.021183801,0.015390966
9/9/2009,-0.003328535,-0.001289214,-0.003548896,-0.002135448,-0.010337418
9/10/2009,0.007762433,0.008605852,0.00514444,0.002140018,0.008274162
9/11/2009,0.003224362,-0.005546075,-0.006692913,-0.009456986,-0.002328018
9/14/2009,0.007052942,0.005577006,0.006341657,0.000307977,0.009100455
9/15/2009,0.003900709,0.008105802,-0.003938558,-0.007235222,0.008266852
9/16/2009,0.020752384,0,0.023724792,0.012249961,0.038300556
9/17/2009,0.000432563,0.003808718,-0.005021244,-0.007199755,0.01474405
9/18/2009,0.001902456,-0.001264755,0.011257764,0.00216016,0.002557684
9/21/2009,-0.004401864,0.001266357,-0.003071017,-0.006004619,-0.005427998
9/22/2009,0.000346771,0.018549747,-0.018482865,0.003717472,0.002510506
9/23/2009,-0.006499697,-0.002069536,-0.009807768,-0.011882716,0.005552834
9/24/2009,0.000959525,0.008710079,-0.011489699,-0.000937061,-0.009095339
9/25/2009,0.001132898,-0.014802632,-0.006813627,-0.003439112,-0.007867563
9/28/2009,-0.014449861,0.010851419,0.015334948,0.013019608,0.020705986
9/29/2009,-0.004327857,-0.002890173,-0.015898251,-0.007432642,-0.004100351
9/30/2009,0.006741772,-0.001242236,-0.00726979,-0.006708268,-0.000162522
10/1/2009,-0.014274385,-0.032752902,-0.01179821,-0.01947542,-0.024219766
10/2/2009,0.009475284,0.003000429,-0.011115685,-0.010251482,0.022322172
10/5/2009,0.00610998,-0.012820513,0.004579517,0.014889141,0.006029004
10/6/2009,0.013377926,0.019480519,0.005387484,0.016105884,0.02148796
10/7/2009,0.011811707,-0.000424628,-0.005770816,0.000156937,0.001268499
10/8/2009,-0.004034335,0.022514868,0.028606965,0.005491919,-0.005173142
10/9/2009,0.029819874,-0.004570004,0.002821443,0.003121099,0.006367399
10/12/2009,0.008787346,0.006677796,0.002813505,0.012445551,0.001739956
10/13/2009,-0.00016592,0.00331675,0.018036072,0.001843884,-0.004105479
10/14/2009,0.010454696,0.005785124,-0.00511811,0.022546012,0.006659267
10/15/2009,-0.002874035,0.02917009,-0.003165809,0.015299235,-0.003780123
10/16/2009,-0.049493535,-0.007984032,-0.001190949,0.002511449,-0.013175231
10/19/2009,0.011609773,-0.005231388,0.013513514,0.006778662,0.009612817
10/20/2009,-0.001884207,0.000404531,-0.023921569,-0.008196721,0.046865908
10/21/2009,-0.015960185,0.007682976,-0.024106067,0.003984652,0.030973675
10/22/2009,0.015085455,0.000401284,0.015232606,0.015434367,0.00137228
